Date,Trend
2022-06-26,0
2022-07-03,20
2022-07-10,24
2022-07-17,22
2022-07-24,16
2022-07-31,34
2022-08-07,34
2022-08-14,25
2022-08-21,34
2022-08-28,25
2022-09-04,39
2022-09-11,44
2022-09-18,25
2022-09-25,36
2022-10-02,23
2022-10-09,31
2022-10-16,29
2022-10-23,32
2022-10-30,52
2022-11-06,43
2022-11-13,36
2022-11-20,42
2022-11-27,28
2022-12-04,28
2022-12-11,36
2022-12-18,34
2022-12-25,25
2023-01-01,24
2023-01-08,29
2023-01-15,36
2023-01-22,27
2023-01-29,35
2023-02-05,37
2023-02-12,36
2023-02-19,39
2023-02-26,56
2023-03-05,68
2023-03-12,56
2023-03-19,63
2023-03-26,64
2023-04-02,73
2023-04-09,100
2023-04-16,88
2023-04-23,85
2023-04-30,32
2023-05-07,52
2023-05-14,47
2023-05-21,40
2023-05-28,34
2023-06-04,32
2023-06-11,52
2023-06-18,42
