Date,Trend
2022-06-26,12
2022-07-03,6
2022-07-10,9
2022-07-17,12
2022-07-24,8
2022-07-31,10
2022-08-07,9
2022-08-14,6
2022-08-21,7
2022-08-28,6
2022-09-04,7
2022-09-11,7
2022-09-18,11
2022-09-25,6
2022-10-02,5
2022-10-09,10
2022-10-16,11
2022-10-23,14
2022-10-30,8
2022-11-06,10
2022-11-13,10
2022-11-20,9
2022-11-27,10
2022-12-04,9
2022-12-11,6
2022-12-18,10
2022-12-25,8
2023-01-01,7
2023-01-08,8
2023-01-15,8
2023-01-22,7
2023-01-29,9
2023-02-05,14
2023-02-12,19
2023-02-19,21
2023-02-26,24
2023-03-05,34
2023-03-12,39
2023-03-19,44
2023-03-26,45
2023-04-02,41
2023-04-09,100
2023-04-16,48
2023-04-23,54
2023-04-30,36
2023-05-07,47
2023-05-14,32
2023-05-21,20
2023-05-28,21
2023-06-04,24
2023-06-11,26
2023-06-18,13
